movie,year,rating,genre,runtime,imdb_rating,metascore,votes,descriptions
Lifemark,2022,5.9,Biography|Drama,105,5.9,,991,"David's comfortable world is turned upside down when his birthmother unexpectedly reaches out to him, longing to meet the 18-year-old son she's only held once."
Restless,2022,5.8,Action|Crime|Thriller,95,5.8,,5217,"After going to extremes to cover up an accident, a corrupt cop's life spirals out of control when he starts receiving threats from a mysterious witness."
Save the Cinema,2022,6.5,Comedy|Drama,109,6.5,,1478,"The story of Liz Evans from Carmarthen, Wales, who campaigned to save the Lyric Cinema in 1993."
Dark Cloud,2022,3.7,Horror|Sci-Fi|Thriller,81,3.7,,4450,"Following the aftermath of a horrific accident, a woman is voluntarily subjected to artificial intelligence for rehabilitation."
Goliath/I,2022,6.8,Drama|Thriller,121,6.8,,1829,"France, sports teacher by day, worker by night and activist; Patrick, obscure and lonely Parisian lawyer specializing in environmental law; and Mathias, lobbyist and man in a hurry, will ...                See full summary »"
The Nan Movie,2022,4.8,Adventure|Comedy,95,4.8,,1384,Catherine Tate's iconic character Nan hits the big screen as she goes on a wild road trip from London to Ireland with her grandson Jamie to make amends with her estranged sister Nell.
Wake Up/VI,2022,8.3,Thriller,92,8.3,,40,"Inspired by true stories, a community is shaken when children go missing, and a darkness is exposed hiding in plain sight."
Pathonpatham Noottandu,2022,6.8,Action|Drama|History,158,6.8,,1598,"Arattupuzha Velayudha Panicker, a 19th century fiery social reformer and his unswerving fight against the dominant caste oppressions by the upper classes."
Wolfkin,2022,5.9,Drama|Fantasy|Horror,90,5.9,,124,"Single mother Elaine is disturbed by her son Martin's aggressive behaviour, she visits his late father's estranged family in small-town Luxembourg, which hides a much darker nature. When ...                See full summary »"
Tara vs Bilal,2022,5.8,Comedy|Drama|Romance,126,5.8,,2470,"Set in London, a romantic comedy where the leading character enter a fake marriage and later fall in love."
Utama,2022,7.2,Drama,87,7.2,74,1760,"In the Bolivian highlands, an elderly Quechua couple has been living the same daily life for years. During an uncommonly long drought, Virginio and Sisa face a dilemma: resist or be defeated by the environment and time itself."
Robbing Mussolini,2022,5.4,Action|Comedy|Crime,90,5.4,,2426,A Milanese wartime entrepreneur forms a band of misfits and rogues to stage an elaborate heist of a legendary treasure belonging to Benito Mussolini.
El Houb - The Love,2022,7.1,Drama,102,7.1,,423,Moroccan-Dutch Karim returns to his family home and opens up to his parents about being into men. Their reaction inspires a journey of discovery through Karim's isolation as he attempts to break an ingrained culture of silence.
The Ghost Station,2022,4.3,Horror|Mystery|Thriller,80,4.3,,235,A public service worker at Oksu Station witnesses a shocking incident and recruits his friend to help uncover the truth behind the station's mysterious happenings.
Bobcat Moretti,2022,8.8,Drama,96,8.8,,888,"An obese MS patient takes up his late Father's sport of boxing to overcome personal tragedy and find inner peace. Filmed over the course of one year, allowing lead actor Tim Realbuto time to lose 154-pounds and embody the role."
Sri Asih/I,2022,6.6,Action|Adventure|Drama,135,6.6,,1136,"Alana was separated from her parents and was adopted by a rich woman. As she reaches adulthood, she discovers the truth about her origin."
A Man,2022,6.9,Drama|Mystery|Romance,121,6.9,,775,"Akira works as a lawyer. One day, he meets with his former client Rie, who asks Akira to perform a background check on her late husband Daisuke."
The Other Me,2022,4.1,Drama|Mystery|Thriller,108,4.1,,570,"An architect is diagnosed with a rare eye disease, entering him into a surreal reality in which he sees people's true motives. As the visions become intolerable, he falls for a strange woman and confronts the truth about his own identity."
ReSet,2022,5.4,Horror,89,5.4,,13,"Danielle is your average college student getting ready to graduate. At a party she seems to become drunk, passes out and wakes up in the spare bedroom of a man named Edgar. Edgar seems nice...                See full summary »"
Press Play,2022,6,Drama|Music|Romance,85,6,,1419,"A young woman has a chance to save the love of her life, when she discovers that the mix-tape they made together can transport her back in time."
Broken Soldier,2022,3.5,Drama|Thriller,93,3.5,,376,A war veteran suffering from PTSD befriends a teenage girl.
Northern Skies Over Empty Space,2022,6.4,Crime,114,6.4,,458,"Don Reynaldo is a famous hunter in decline. When his ranch and his father's legacy are threatened, the dynamic of his relationship with his family, his employees, and land will be dangerously shaken."
Dead Zone,2022,3.6,Action|Horror|Sci-Fi,83,3.6,,586,"To stop the collapse of humanity, an elite team of soldiers must descend on a radiation-poisoned town and perform the ultimate stealth mission using high-tech armor and weapons."
Expensive Candy,2022,6.7,Drama|Romance,104,6.7,,555,"Candy is a sex worker. A poor teacher, Toto (Carlo Aquino), falls in love with her and she becomes his motivation to work hard."
The Time Capsule,2022,5.4,Drama|Romance|Sci-Fi,105,5.4,,508,"In the near future, a politician fresh off an electoral loss escapes to his family's summer lake house. His vacation is disrupted by the appearance of his first love, who has just returned from a 20-year space voyage and hasn't aged a day."
Backpackers,2022,5.8,Comedy|Romance,96,5.8,,3215,The opposite lives of a workaholic architect and a fiery artist are upended when their chance encounter in breathtaking Peru shifts their views on life.
Stories Not to Be Told,2022,6.2,Action|Adventure|Comedy,100,6.2,,882,"Five comedic tales criss-cross at random, focusing on the emotions of the main characters and told with a lot of rhythm and action."
Hotel for the Holidays,2022,5.2,Comedy|Romance,84,5.2,,1056,It follows staff and guests at the Hotel Fontaine in New York City during Christmas time.
Burn All My Letters,2022,6.1,Drama|History,120,6.1,,1244,"It is based on the impact of passion, jealousy and anger across 70 years in a relationship, involving different generations."
Marginalci,2022,4.9,Adventure|Comedy|Drama,95,4.9,,152,"The story of this comedy begins one spring evening when Crevo slowly falls asleep, and continues until noon the next day when the heated passions of the social community calm down to the ...                See full synopsis »"
"Strong Fathers, Strong Daughters",2022,5.7,Comedy|Drama,94,5.7,,249,"When a wealthy businessman learns of his daughter's sudden engagement to a missionary, he embarks on a quest to keep her closer to home, but when his efforts go awry he must reconsider what being a strong father really means."
Thar,2022,6.1,Action|Crime|Drama,108,6.1,,7785,A mysterious stranger arrives in a village situated in the Thar desert and crosses paths with a veteran cop investigating a case of brutal killings.
India Lockdown,2022,7.2,Adventure|Drama,117,7.2,,9283,The Indian government announces a country-wide lockdown for 21 days due to the pandemic. India Lockdown encapsulates the story of four out of lakhs of individuals whose lives came to a standstill.
Vaincre ou mourir,2022,5.4,Action|History|War,100,5.4,,704,"The heroic life of Charette, a noble, whom the Vendée peasants came to seek to fight the Republican Revolutionaries, to defend their land, their faith, their sons and their religion."
Impuratus,2022,7.5,Horror|Mystery,134,7.5,,33,A police detective Clayton Douglas (Tom Sizemore) is summoned to a remote hospital to witness a mysterious Civil War veteran's outrageous death-bed confession that forces him to accept the supernatural.
Avarice,2022,5,Action|Thriller,88,5,,1800,A gifted archer must rescue her husband and daughter after they are abducted during a vicious home invasion.
Cuttputlli,2022,5.7,Crime|Drama|Mystery,120,5.7,,21944,"When a small town gets plunged into the nightmare of serial killings, rookie cop Arjan embarks on a chase for the truth and unravels a gruesome conspiracy."
Girl at the Window,2022,4.2,Horror|Thriller,85,4.2,,868,"A teenage girl in the suburbs becomes convinced that her mom's new boyfriend is the serial killer terrorizing the town, and will stop at nothing to prove it."
Babysitter/I,2022,6.1,Comedy|Drama|Mystery,87,6.1,,1197,"After a sexist joke goes viral, Cédric loses his job and embarks on a therapeutic journey to free himself from sexism and misogyny. He and his girlfriend hire a mysterious and liberated babysitter to help shake things up."
Who Invited Charlie?,2022,5.5,Comedy,101,5.5,,444,"Follows a New York City family hiding out in the Hamptons whose bubble is popped when a Bloody Mary-swilling, pot-smoking 'Charlie' comes to bring a lifetime of hurt that might heal them all."
Sabel Is Still Young,2022,5.8,Crime|Horror|Thriller,134,5.8,,452,"The married life of Sabel and Brian was cut short when three men assault her and kill Brian in their honeymoon. Surviving the crime, she vows to let the culprits experience hell."
Deborah,2022,4.6,Comedy|Drama|Sci-Fi,88,4.6,,493,"A group of old friends discovers a seemingly harmless device that allows them to rewind time, but not without consequences."
Irati,2022,6.4,Action|Adventure|Drama,114,6.4,,1206,"Follows Irati, a young girl who will guide a group of christian and muslim warriors through a journey in an ancient mythological world where everything that has a name exists, in an attempt to recover a lost treasure."
